"Step","training-starcoder2-3b-python-text_only - train/sft_loss","training-starcoder2-3b-python-text_only - train/sft_loss__MIN","training-starcoder2-3b-python-text_only - train/sft_loss__MAX","training-starcoder2-3b-python-formal_sft - train/sft_loss","training-starcoder2-3b-python-formal_sft - train/sft_loss__MIN","training-starcoder2-3b-python-formal_sft - train/sft_loss__MAX","training-starcoder2-3b-python - train/iwae_loss","training-starcoder2-3b-python - train/iwae_loss__MIN","training-starcoder2-3b-python - train/iwae_loss__MAX"
"29","1.269155502319336","1.269155502319336","1.269155502319336","1.8626360893249512","1.8626360893249512","1.8626360893249512","0.7158522605895996","0.7158522605895996","0.7158522605895996"
"30","1.3989629745483398","1.3989629745483398","1.3989629745483398","1.6770234107971191","1.6770234107971191","1.6770234107971191","0.709602952003479","0.709602952003479","0.709602952003479"
"31","1.0151667594909668","1.0151667594909668","1.0151667594909668","1.7875614166259766","1.7875614166259766","1.7875614166259766","0.8216437101364136","0.8216437101364136","0.8216437101364136"
"32","1.0288045406341553","1.0288045406341553","1.0288045406341553","1.7498247623443604","1.7498247623443604","1.7498247623443604","0.724656879901886","0.724656879901886","0.724656879901886"
"33","1.1615979671478271","1.1615979671478271","1.1615979671478271","2.073457956314087","2.073457956314087","2.073457956314087","0.8001957535743713","0.8001957535743713","0.8001957535743713"
"34","0.9133902788162231","0.9133902788162231","0.9133902788162231","1.4203858375549316","1.4203858375549316","1.4203858375549316","0.7886972427368164","0.7886972427368164","0.7886972427368164"
"35","1.3506510257720947","1.3506510257720947","1.3506510257720947","1.4944759607315063","1.4944759607315063","1.4944759607315063","0.806872546672821","0.806872546672821","0.806872546672821"
"36","0.9991620779037476","0.9991620779037476","0.9991620779037476","1.6204429864883423","1.6204429864883423","1.6204429864883423","0.5531885623931885","0.5531885623931885","0.5531885623931885"
"37","0.772057294845581","0.772057294845581","0.772057294845581","1.5930912494659424","1.5930912494659424","1.5930912494659424","0.8377379179000854","0.8377379179000854","0.8377379179000854"
"38","0.8165473937988281","0.8165473937988281","0.8165473937988281","1.558070421218872","1.558070421218872","1.558070421218872","0.700189471244812","0.700189471244812","0.700189471244812"
"39","1.0502489805221558","1.0502489805221558","1.0502489805221558","1.2483853101730347","1.2483853101730347","1.2483853101730347","0.9199302196502686","0.9199302196502686","0.9199302196502686"
"40","1.101180911064148","1.101180911064148","1.101180911064148","1.659509539604187","1.659509539604187","1.659509539604187","0.6631425023078918","0.6631425023078918","0.6631425023078918"
"41","1.0784416198730469","1.0784416198730469","1.0784416198730469","1.1968621015548706","1.1968621015548706","1.1968621015548706","0.8001336455345154","0.8001336455345154","0.8001336455345154"
"42","1.0486326217651367","1.0486326217651367","1.0486326217651367","1.3493157625198364","1.3493157625198364","1.3493157625198364","0.9459496736526489","0.9459496736526489","0.9459496736526489"
"43","1.5065053701400757","1.5065053701400757","1.5065053701400757","1.1890919208526611","1.1890919208526611","1.1890919208526611","0.6553388833999634","0.6553388833999634","0.6553388833999634"
"44","1.462000846862793","1.462000846862793","1.462000846862793","1.3581516742706299","1.3581516742706299","1.3581516742706299","0.8013659715652466","0.8013659715652466","0.8013659715652466"
"45","1.0893454551696777","1.0893454551696777","1.0893454551696777","1.3000521659851074","1.3000521659851074","1.3000521659851074","0.788936972618103","0.788936972618103","0.788936972618103"
"46","0.9898195266723633","0.9898195266723633","0.9898195266723633","1.1929359436035156","1.1929359436035156","1.1929359436035156","0.8631628751754761","0.8631628751754761","0.8631628751754761"
"47","0.9416834115982056","0.9416834115982056","0.9416834115982056","1.3183293342590332","1.3183293342590332","1.3183293342590332","0.7358881831169128","0.7358881831169128","0.7358881831169128"
"48","1.2959413528442383","1.2959413528442383","1.2959413528442383","0.9958494901657104","0.9958494901657104","0.9958494901657104","1.0190544128417969","1.0190544128417969","1.0190544128417969"
"49","1.1837470531463623","1.1837470531463623","1.1837470531463623","1.276949405670166","1.276949405670166","1.276949405670166","0.5672895908355713","0.5672895908355713","0.5672895908355713"
"50","0.8749045133590698","0.8749045133590698","0.8749045133590698","1.6912058591842651","1.6912058591842651","1.6912058591842651","0.6386574506759644","0.6386574506759644","0.6386574506759644"
"51","0.893929123878479","0.893929123878479","0.893929123878479","1.1676371097564697","1.1676371097564697","1.1676371097564697","0.490757554769516","0.490757554769516","0.490757554769516"
"52","0.9231296181678772","0.9231296181678772","0.9231296181678772","1.2825586795806885","1.2825586795806885","1.2825586795806885","0.7599537968635559","0.7599537968635559","0.7599537968635559"
"53","0.896868109703064","0.896868109703064","0.896868109703064","1.5412964820861816","1.5412964820861816","1.5412964820861816","0.687515377998352","0.687515377998352","0.687515377998352"
"54","0.9943814277648926","0.9943814277648926","0.9943814277648926","1.0570956468582153","1.0570956468582153","1.0570956468582153","0.6268064975738525","0.6268064975738525","0.6268064975738525"
"55","0.8381927013397217","0.8381927013397217","0.8381927013397217","1.1403963565826416","1.1403963565826416","1.1403963565826416","0.7418036460876465","0.7418036460876465","0.7418036460876465"
"56","1.1091327667236328","1.1091327667236328","1.1091327667236328","1.3107702732086182","1.3107702732086182","1.3107702732086182","0.6122345924377441","0.6122345924377441","0.6122345924377441"
"57","0.7188023328781128","0.7188023328781128","0.7188023328781128","1.4515043497085571","1.4515043497085571","1.4515043497085571","0.9287819862365723","0.9287819862365723","0.9287819862365723"
"58","0.9416961073875427","0.9416961073875427","0.9416961073875427","1.2175222635269165","1.2175222635269165","1.2175222635269165","0.6106307506561279","0.6106307506561279","0.6106307506561279"
"59","1.230266809463501","1.230266809463501","1.230266809463501","1.0149232149124146","1.0149232149124146","1.0149232149124146","0.6746651530265808","0.6746651530265808","0.6746651530265808"
"60","0.8371845483779907","0.8371845483779907","0.8371845483779907","0.9506132006645203","0.9506132006645203","0.9506132006645203","0.6296841502189636","0.6296841502189636","0.6296841502189636"
"61","0.9235677719116211","0.9235677719116211","0.9235677719116211","0.9448350667953491","0.9448350667953491","0.9448350667953491","0.8499182462692261","0.8499182462692261","0.8499182462692261"
"62","1.0210113525390625","1.0210113525390625","1.0210113525390625","1.1958400011062622","1.1958400011062622","1.1958400011062622","0.7113391160964966","0.7113391160964966","0.7113391160964966"
"63","0.9127333164215088","0.9127333164215088","0.9127333164215088","0.8783353567123413","0.8783353567123413","0.8783353567123413","0.6155887842178345","0.6155887842178345","0.6155887842178345"
"64","0.9412088394165039","0.9412088394165039","0.9412088394165039","1.1501598358154297","1.1501598358154297","1.1501598358154297","0.7348922491073608","0.7348922491073608","0.7348922491073608"
